Cantón ,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020
Tena,,,,,,,,,,,,,,,,1
Orellana,,,,,,,,,,,,,1,1,1,1
Pastaza,,,,,,,,,,1,1,1,4,4,4,4
Mera,,,,,,,,,,,1,1,1,1,1,1
Mejía,,,,,,,,,,,,,1,1,1,1
Pedro Vicente,,,,,,,,,,1,1,1,1,1,1,2
Maldonado,,,,,,,,,,,,,,,,
Quito,8,8,12,16,35,50,59,63,70,101,114,130,161,161,179,204
Rumiñahui,,,,,,,1,2,2,6,6,6,8,8,10,11
Pedro Moncayo,,3,,,,,,,,,,,,,,1
Salinas,,,,,1,1,2,2,3,3,4,5,5,5,5,4
Santa Elena,,,,,,,,2,3,3,3,5,5,5,5,5
La Libertad,,,,,,,,,,,,,2,2,2,8
La,,,,1,1,4,4,7,7,7,8,9,13,13,13,3
Concordia ,,,,,,,,,,,,,,,,
Santo Domingo,,,,1,1,1,1,1,1,1,2,2,3,3,3,15
Cuyabeno,1,1,1,1,2,2,5,5,5,5,16,16,15,15,22,3
Lago Agrio,,,,,,,,1,2,3,3,4,4,4,4,24
Ambato,,,,,,,,,,,,,,,,8
San Pedro de Pelileo,,,,,,,,,,,1,1,1,1,1,1
Yantzaza,,,,,,,,,,,,,,,1,1
Zamora,,,,,,,,,,,,,,,,1
